cap,location
"She could not lift her face, but only pressed it to the cold braiding of his hussar's jacket.",['room']
"Vera's remark was correct, as her remarks always were, but, like most of her observations, it made everyone feel uncomfortable, not only Sonya, Nicholas, and Natasha, but even the old countess, who- dreading this love affair which might hinder Nicholas from making a brilliant match--blushed like a girl.",['room']
"Of Bolkonski, nothing was said, and only those who knew him intimately regretted that he had died so young, leaving a pregnant wife with his eccentric father.",['room']
"Shinshin, standing close by, tried to make a joke, saying that Kutuzov had evidently failed to learn from Suvorov even so simple a thing as the art of crowing like a cock, but the elder members glanced severely at the wit, making him feel that in that place and on that day, it was improper to speak so of Kutuzov.",['room']
He was seated in the place of honor between two Alexanders--Bekleshev and Naryshkin--which was a significant allusion to the name of the sovereign.,['room']
"said the prince closing the door behind him, and Tikhon did not hear the slightest sound from the study after that.",['room']
"Not only was he indifferent as to whether he got to Petersburg earlier or later, or whether he secured accommodation at this station, but compared to the thoughts that now occupied him it was a matter of indifference whether he remained there for a few hours or for the rest of his life.",['room']
Then the candles were relit and he was told that he would see the full light; the bandage was again removed and more than ten voices said together: Sic transit gloria mundi.,['room']
"Denisov, who was living luxuriously because the soldiers of his squadron liked him, had also a board in the roof at the farther end, with a piece of (broken but mended) glass in it for a window.",['room']
"After this Prince Andrew was conducted to the door and the officer on duty said in a whisper, To the right, at the window.",['room']
"He went to bed from habit, but soon realized that he could not sleep.",['room']
"She knew this for certain, though she hardly heard his voice through the closed doors.",['room']
"Then from that spot came the sound of a horn, with the signal agreed on in case of a fight.",['room']
"Not only Nicholas, but even Natasha understood the meaning of his puckered brow and the happy complacent smile that slightly puckered his lips when Anisya Fedorovna entered.",['room']
"CHAPTER IX   Christmas came and except for the ceremonial Mass, the solemn and wearisome Christmas congratulations from neighbors and servants, and the new dresses everyone put on, there were no special festivities, though the calm frost of twenty degrees Reaumur, the dazzling sunshine by day, and the starlight of the winter nights seemed to call for some special celebration of the season.",['room']
"And I remember their telling me that you had been born under a cabbage, said Natasha, and I remember that I dared not disbelieve it then, but knew that it was not true, and I felt so uncomfortable.",['room']
"Dimmler began to play; Natasha went on tiptoe noiselessly to the table, took up a candle, carried it out, and returned, seating herself quietly in her former place.",['room']
"It's nothing, Mamma, really it's nothing; only Petya startled me, she said, trying to smile, but her tears still flowed and sobs still choked her.",['room']
"The princess told the count that she would be delighted, and only begged him to stay longer at Anna Semenovna's, and he departed.",['room']
"In his large study, the walls of which were hung to the ceiling with Persian rugs, bearskins, and weapons, sat Dolokhov in a traveling cloak and high boots, at an open desk on which lay abacus and some bundles of paper money.",['room']
"Hard as it may be, I'll tell them all to hold their tongues and will hide it from the count.",['room']
"Pierre felt it strange to see this calm, indifferent crowd of people unaware of what was going on in his soul.",['room']
Hardly had Balashev begun to speak before a look of amazement appeared on the Emperor's face.,['room']
"Instead of the demand of four months earlier to withdraw from Pomerania, only a withdrawal beyond the Niemen was now demanded.",['room']
Through the first door came the sound of voices conversing in German and occasionally in French.,['room']
"The only thing that made Princess Mary anxious about him was that he slept very little and, instead of sleeping in his study as usual, changed his sleeping place every day.",['room']
"He wished to sleep, but he knew he would not be able to and that most depressing thoughts came to him in bed.",['room']
"screamed a thin, pale woman who, with a baby in her arms and her kerchief torn from her head, burst through the door at that moment and down the steps into the yard.",['room']
"The cares of preparation and giving orders, for which everyone came to her, occupied her all day.",['room']
"Having understood this Princess Mary sobbed still louder, and the doctor taking her arm led her out to the veranda, soothing her and trying to persuade her to prepare for her journey.",['room']
"The old valet Tikhon, with sunken, emaciated face that bore the stamp of inconsolable grief, replied: Yes, Princess to all Princess Mary's questions and hardly refrained from sobbing as he looked at her.",['room']
"Rostopchin's broadsheets, headed by woodcuts of a drink shop, a potman, and a Moscow burgher called Karpushka Chigirin, who--having been a militiaman and having had rather too much at the pub--heard that Napoleon wished to come to Moscow, grew angry, abused the French in very bad language, came out of the drink shop, and, under the sign of the eagle, began to address the assembled people, were read and discussed, together with the latest of Vasili Lvovich Pushkin's bouts rimes.",['room']
"Yes, sire, and the aide-de-camp disappeared through the door of the tent.",['room']
Count Rostopchin had only that morning returned to town from his summer villa at Sokolniki.,['room']
"When he awoke next morning the major-domo came to inform him that a special messenger, a police officer, had come from Count Rostopchin to know whether Count Bezukhov had left or was leaving the town.",['room']
"All the doors were open, all the furniture was being carried out or moved about, and the mirrors and pictures had been taken down.",['room']
"He felt that everything was now at an end, all was in confusion and crumbling to pieces, that nobody was right or wrong, the future held nothing, and there was no escape from this position.",['room']
"CHAPTER XXIII   From an unfinished house on the Varvarka, the ground floor of which was a dramshop, came drunken shouts and songs.",['room']
"But in the yard there was a light from the fire at Little Mytishchi a mile and a half away, and through the night came the noise of people shouting at a tavern Mamonov's Cossacks had set up across the street, and the adjutant's unceasing moans could still be heard.",['room']
Stepping cautiously from one foot to the other she ran like a kitten the few steps to the door and grasped the cold door handle.,['room']
"And it is of this period of the campaign--when the army lacked boots and sheepskin coats, was short of provisions and without vodka, and was camping out at night for months in the snow with fifteen degrees of frost, when there were only seven or eight hours of daylight and the rest was night in which the influence of discipline cannot be maintained, when men were taken into that region of death where discipline fails, not for a few hours only as in a battle, but for months, where they were every moment fighting death from hunger and cold, when half the army perished in a single month--it is of this period of the campaign that the historians tell us how Miloradovich should have made a flank march to such and such a place, Tormasov to another place, and Chichagov should have crossed (more than knee-deep in snow) to somewhere else, and how so-and-so routed and cut off the French and so on and so on.",['room']
Pierre gazed at the door through which she had disappeared and did not understand why he suddenly felt all alone in the world.,['room']
"It had bare deal floors and was furnished with very simple hard sofas, armchairs, tables, and chairs made by their own serf carpenters out of their own birchwood.",['room']
Countess Mary moved away from the door and took the boy back to the nursery.,['room']
"It is, as he said, beautifully situated, but it is not beautiful in itself, for it is a large square block of a house, whitewashed, but all stained and streaked with damp and bad weather.",['field']
"The road is an important highway, and there are usually people there.",['field']
"To their agriculture they added woolen and linen manufactures, which, flourishing in the supple fingers of their tireless women, made heavy inroads upon the trade of the English merchants in the colonies.",['field']
[Illustration: DOMESTIC INDUSTRY: DIPPING TALLOW CANDLES]  =Textile Manufacture as a Domestic Industry.,['field']
Neither does the vigor of its language or the severity of its indictment give it a secure place in the records of time.,['field']
"THE DIPLOMACY OF THE REVOLUTION  When the full measure of honor is given to the soldiers and sailors and their commanding officers, the civilians who managed finances and supplies, the writers who sustained the American spirit, and the women who did well their part, there yet remains the duty of recognizing the achievements of diplomacy.",['field']
"The working people, excluded from all share in the government by the first French constitution, became restless, especially in Paris.",['field']
"Where no government is wanted, save that of the parish constable, as in America with its boundless soil, every man being able to find work and recompense for himself, democracy may subsist; not elsewhere.",['field']
"How few young men there are, how generally the young women are dressed in black!",['field']
and large tracts of once cultivated land are stripped of every vestige of fencing.,['field']
"=--Fortified by all these elements of strength, the Republicans held the presidency from 1869 to 1885.",['field']
This division in privileges--not uncommon in political management--was always accompanied by a judicious selection of the candidate for Vice President.,['field']
After a time the government was prodded into action and the great dams at Laguna and Roosevelt are the result.,['field']
It appeared in many statutes enacted by Congress under President Taft's leadership.,['field']
"#--When pyogenic bacteria are introduced into the tissue there ensues an inflammatory reaction, which is characterised by dilatation of the blood vessels, exudation of large numbers of leucocytes, and proliferation of connective-tissue cells.",['field']
It has been found also that the infective complications are greatly influenced by the terrain in which the fighting takes place.,['field']
"In this action for the first time trophies were taken: banners, cannon, and two enemy generals.",['field']
"But the guns remained loaded, the loopholes in blockhouses and entrenchments looked out just as menacingly, and the unlimbered cannon confronted one another as before.",['field']
"CHAPTER VII   On the twelfth of November, Kutuzov's active army, in camp before Olmutz, was preparing to be reviewed next day by the two Emperors--the Russian and the Austrian.",['field']
"The two Emperors, the Russian with his heir the Tsarevich, and the Austrian with the Archduke, inspected the allied army of eighty thousand men.",['field']
"He put his horse to a trot to avoid seeing all these suffering men, and he felt afraid--afraid not for his life, but for the courage he needed and which he knew would not stand the sight of these unfortunates.",['field']
"Each man in the hunt knew his business, his place, what he had to do.",['field']
"The wolf paused, turned its heavy forehead toward the dogs awkwardly, like a man suffering from the quinsy, and, still slightly swaying from side to side, gave a couple of leaps and with a swish of its tail disappeared into the skirt of the wood.",['field']
At midday they put the hounds into a ravine thickly overgrown with young trees.,['field']
"Nicholas sent the man to call Natasha and Petya to him, and rode at a footpace to the place where the whips were getting the hounds together.",['field']
"Nicholas, not stopping to talk to the man, asked his sister and Petya to wait for him and rode to the spot where the enemy's, Ilagin's, hunting party was.",['field']
"He stopped in the village at the priest's house in front of which stood the commander in chief's carriage, and he sat down on the bench at the gate awaiting his Serene Highness, as everyone now called Kutuzov.",['field']
"As the flames of the fire hidden within come more and more vividly and rapidly from an approaching thundercloud, so, as if in opposition to what was taking place, the lightning of hidden fire growing more and more intense glowed in the faces of these men.",['field']
"There for several hours amid incessant cannon and musketry fire, now Russians were seen alone, now Frenchmen alone, now infantry, and now cavalry: they appeared, fired, fell, collided, not knowing what to do with one another, screamed, and ran back again.",['field']
"A personal, human feeling for a brief moment got the better of the artificial phantasm of life he had served so long.",['field']
"It would not take place because the commanders not merely all recognized the position to be impossible, but in their conversations were only discussing what would happen after its inevitable abandonment.",['field']
"Instantly as at a word of command the expression of cheerful serenity on the faces of the French general, officers, and men changed to one of determined concentrated readiness for strife and suffering.",['field']
"Only a man who has experienced it--that is, has passed some months continuously in an atmosphere of campaigning and war--can understand the delight Nicholas felt when he escaped from the region covered by the army's foraging operations, provision trains, and hospitals.",['field']
"I prefer not to take lessons from anyone, but I can die with my men as well as anybody, he said, and advanced with a single division.",['field']
"Several soldiers ran toward the cart from different sides: some beat the carriage horses on their heads, turning them aside, others fought among themselves, and Pierre saw that one German was badly wounded on the head by a sword.",['field']
"The Emperor greeted the officers and the Semenov guard, and again pressing the old man's hand went with him into the castle.",['field']
"For history, lines exist of the movement of human wills, one end of which is hidden in the unknown but at the other end of which a consciousness of man's will in the present moves in space, time, and dependence on cause.",['field']
"The house was just such as I had pictured it from Sherlock Holmes' succinct description, but the locality appeared to be less private than I expected.",['street']
"At his fall the guardsmen took to their heels in one direction and the loungers in the other, while a number of better dressed people, who had watched the scuffle without taking part in it, crowded in to help the lady and to attend to the injured man.",['street']
"There were several people on the pavement at the time, but the greeting appeared to come from a slim youth in an ulster who had hurried by.",['street']
"It is possible, however, that I may have something better before very many minutes are over, for this is one of my clients, or I am much mistaken.",['street']
"Convinced that something was amiss with him, she rushed down the steps--for the house was none other than the opium den in which you found me to-night--and running through the front room she attempted to ascend the stairs which led to the first floor.",['street']
"On the other hand, if you convince the police authorities that there is no possible case against you, I do not know that there is any reason that the details should find their way into the papers.",['street']
"Our footfalls rang out crisply and loudly as we swung through the doctors' quarter, Wimpole Street, Harley Street, and so through Wigmore Street into Oxford Street.",['street']
"Some three hours or so afterwards we were all in the train together, bound from Reading to the little Berkshire village.",['street']
"Many artisans, as well as all the women, were excluded from the right to vote for colonial assemblymen.",['street']
They held a Stamp Act Congress to declare their rights and petition for a redress of grievances.,['street']
"'  Though Garrison complained that the apathy of the people is enough to make every statue leap from its pedestal, he soon learned how alive the masses were to the meaning of his propaganda.",['street']
Their meeting places were often attacked and sometimes burned to the ground.,['street']
Slavery five hundred miles away on a Louisiana plantation was so remote from the North that only the strongest imagination could maintain a constant rage against it.,['street']
"[Illustration: THE DRAFT RIOTS IN NEW YORK CITY]  The beginning of the drawings under the draft act in New York City, on Monday, July 13, 1863, was the signal for four days of rioting.",['street']
"Atlanta, the city to which Sherman applied the torch, lay in ashes; Nashville and Chattanooga had been partially wrecked; Richmond and Augusta had suffered severely from fires.",['street']
"It was charged that each of the political parties had fallen into the hands of professional politicians who devoted their time to managing conventions, making platforms, nominating candidates, and dictating to officials; in return for their services they sold offices and privileges.",['street']
A second line of reform appeared in the model franchise for utility corporations.,['street']
"It may follow such trivial injuries as a pin-prick or a scratch, the signs of acute cellulitis rapidly giving place to those of a spreading gangrene.",['street']
"The packing may be renewed at intervals until the wound is filled by granulations; or, in the course of a few days when it becomes evident that the infection has been overcome, _secondary_ sutures may be introduced and the edges drawn together, provision being made at the ends for further packing or for drainage-tubes.",['street']
"Rostov felt so ill at ease and uncomfortable with Boris that, when the latter looked in after supper, he pretended to be asleep, and early next morning went away, avoiding Boris.",['street']
"Natasha at that moment felt so softened and tender that it was not enough for her to love and know she was beloved, she wanted now, at once, to embrace the man she loved, to speak and hear from him words of love such as filled her heart.",['street']
"In their service he risked his skin and his life twenty times a year, and in their service had lost more horses than the money he had from them would buy.",['street']
"The roar of guns, the whistling of projectiles, and the piteous moaning of the cook, which rose above the other sounds, did not cease for a moment.",['street']
"But the coachman could not stop, for from the Meshchanski Street came more carts and carriages, and the Rostovs were being shouted at to move on and not block the way.",['street']
"Many of them appropriated several houses, chalked their names on them, and quarreled and even fought with other companies for them.",['street']
"But as his chief aim consisted not in carrying out his design, but in proving to himself that he would not abandon his intention and was doing all he could to achieve it, Pierre hastily took the blunt jagged dagger in a green sheath which he had bought at the Sukharev market with the pistol, and hid it under his waistcoat.",['street']
"But Pierre did not know this; he was entirely absorbed in what lay before him, and was tortured--as those are who obstinately undertake a task that is impossible for them not because of its difficulty but because of its incompatibility with their natures--by the fear of weakening at the decisive moment and so losing his self-esteem.",['street']
"It was now, however, impossible to get back the way he had come; the maid, Aniska, was no longer there, and Pierre with a feeling of pity and disgust pressed the wet, painfully sobbing child to himself as tenderly as he could and ran with her through the garden seeking another way out.",['street']
"When they had crossed the Crimean bridge the prisoners moved a few steps forward, halted, and again moved on, and from all sides vehicles and men crowded closer and closer together.",['street']
All these people and horses seemed driven forward by some invisible power.,['street']
They carefully guarded their open wounds from any rough and painful contact.,['street']
"Large sitting-room on the right side, well furnished, with long windows almost to the floor, and those preposterous English window fasteners which a child could open.",['top']
"At his fall the guardsmen took to their heels in one direction and the loungers in the other, while a number of better dressed people, who had watched the scuffle without taking part in it, crowded in to help the lady and to attend to the injured man.",['top']
"He wore rather baggy grey shepherd's check trousers, a not over-clean black frock-coat, unbuttoned in the front, and a drab waistcoat with a heavy brassy Albert chain, and a square pierced bit of metal dangling down as an ornament.",['top']
I could tell you tales of cobbler's wax which would disgust you with human nature.,['top']
"This also was opened, and led down a flight of winding stone steps, which terminated at another formidable gate.",['top']
"It was a quiet, little, plainly furnished room, with a round table in the centre, on which several German books were scattered.",['top']
"Ferguson appeared to be a morose and silent man, but I could see from the little that he said that he was at least a fellow-countryman.",['top']
"She sits in her own little office, and the ladies who are seeking employment wait in an anteroom, and are then shown in one by one, when she consults her ledgers and sees whether she has anything which would suit them.",['top']
"A prodigiously stout man with a very smiling face and a great heavy chin which rolled down in fold upon fold over his throat sat at her elbow with a pair of glasses on his nose, looking very earnestly at the ladies who entered.",['top']
"It is a pity, because in other respects you would really have done very nicely.",['top']
"As well as I could learn, Miss Alice had rights of her own by will, but she was so quiet and patient, she was, that she never said a word about them but just left everything in Mr. Rucastle's hands.",['top']
In fact the migration became so large that German princes were frightened at the loss of so many subjects and England was alarmed by the influx of foreigners into her overseas dominions.,['top']
"=--Acting on this belief, but apparently seeing only the Mississippi outlet at stake, Jefferson sent his friend, James Monroe, to France with the power to buy New Orleans and West Florida.",['top']
"Had it not been for their extreme caution, for the constant and harassing criticism by English friends of the United States--like John Bright--and for the victories of Vicksburg and Gettysburg, both  England and France would have doubtless declared the Confederacy to be one of the independent powers of the earth.",['top']
Keeping rascals out was no task at all compared with the problem of finding competent people for all the technical offices.,['top']
"_Spirilla_ are long, slender, thread-like cells, more or less spiral or wavy.",['top']
"Other forms of leucocytes may be present, especially in long-standing suppurations; and there are usually some red corpuscles, dead bacteria, fat cells and shreds of tissue, cholestrol crystals, and other detritus in the deposit.",['top']
"In this connection it is worthy of note that there are certain points at which gangrene naturally tends to become arrested--namely, at the highly vascular areas in the neighbourhood of joints.",['top']
"The duration of the sitting is determined by the effect produced, as indicated by the hardening of the tumour, the average duration being from fifteen to twenty minutes.",['top']
"#--_The anterior auricular (parotid and pre-auricular) glands_ lie beneath the parotid fascia in front of the ear, and some are partly embedded in the substance of the parotid gland; they drain the parts about the temple, cheek, eyelids, and auricle, and are frequently the seat of tuberculous disease.",['top']
"_--When secondary suture has been performed under favourable conditions, the prognosis is good, but a longer time is required for restoration of function than after primary suture.",['top']
"Such attacks may recur only once a year or they may be more frequent; the successive attacks tend to become less acute but last longer, and the local phenomena persist, the joint remaining permanently swollen and stiff.",['top']
"_See_ Common Peroneal Nerve    Extravasation of blood, 259    Exudates, varieties of, 33    Exudation cysts, 212    Eye, syphilitic lesions of, 160, 176, 177     Facial artery, compression of, 269     erysipelas, 107    Fainting, 249    Farcy, 125    Fascia, grafting of, 16    Fat embolism, 254     grafting of, 16    Fatty hernia, 187     tumours, 184    Feet, trench, 96    Femoral aneurysm, 318     artery compression of, 269     embolus of, 93     lymph glands, 323    Fever, 35    Fibro-adenoma, 202    Fibroblasts, 3    Fibroid, recurrent, of Paget, 199, 392, 420     uterine, 195    Fibroma, 194     of bone, 491     diffuse, 194     recurrent, of Paget, 199, 392, 420     of skin, 391     varieties of, 194    Fibromatosis, diffuse, 194    Fibro-myoma, 195    Fibro-sarcoma, 199    Fibrositis, varieties of, 372, 412    Filaria Bancrofti, 326    Filarial disease, 326    Finger, chancre of, 154     drop-, 411     mallet-, 411    Fingers, gouty affections of, 523     whitlow of, 55    Finsen light treatment, 138    Firearms, wounds by, 225, 227, 230    First intention, healing by, 2    Fistula, 60     congenital, 60     lymphatic, 325     varieties of, 60    Fluctuation, 49    Fomentations, 37, 41    Foot, cellulitis of, 58     drop-, 370     Madura, 129     perforating ulcer of, 73    Forci-pressure in haemorrhage, 271    Forearm, aneurysm of, 318     cellulitis of, 58    Foreign bodies, embedded, 6, 231    Fracture, pathological, 444    Fraenkel's pneumococcus, 28    Fragilitas ossium, 479    Friedlander's pneumo-bacillus, 28    Frost-bite, gangrene from, 95    Furunculus orientalis, 129     Galyl, 163    Ganglion, 214, 215, 217     compound palmar, 217, 423    Ganglionic neuroma, 353    Gangrene, 86     acute infective, 99       emphysematous, 102     from angio-sclerosis, 98     bacterial varieties of, 99     from burns and scalds, 95     cancrum oris, 102     carbolic, 95     from chemical agents, 95     clinical types of, 86       varieties of, 88     from constriction of vessels, 94     diabetic, 96     dry, 86     embolic, 92     from ergot, 98     from frost-bite, 95     gas, 102     from interference with circulation, 86     following ligation of arteries, 94     line of demarcation in, 87     malignant oedema, 101     moist, 87     noma, 102     phagedaena, 153     Raynaud's disease, 97     senile, 88     traumatic, 94     from trench feet, 96     white, 93     from whitlow, 99    Gas gangrene, 102    Gasserian ganglion, removal of, 375    Gauze, varieties of, 247    Gauze, sterilisation of, 245    Gelatin, injection of, in aneurysm, 309     in haemophilia, 280    Gelatinous degeneration of joints, 515    Giant cells, 3    Glanders, 123    Glands, lymph.",['top']
"And having got rid of this young man who did not know how to behave, she resumed her duties as hostess and continued to listen and watch, ready to help at any point where the conversation might happen to flag.",['top']
"If to some people, he went on, turning to Anna Pavlovna, he ever was a hero, after the murder of the duc there was one martyr more in heaven and one hero less on earth.",['top']
"The countess looked at her callers, smiling affably, but not concealing the fact that she would not be distressed if they now rose and took their leave.",['top']
"But as she passed the sitting room she noticed two couples sitting, one pair at each window.",['top']
"The old prince did not evince the least interest during this explanation, but as if he were not listening to it continued to dress while walking about, and three times unexpectedly interrupted.",['top']
"Rostov took the money, avoiding Telyanin's eyes, and went out of the room without a word.",['top']
"Down below, the little town could be seen with its white, red-roofed houses, its cathedral, and its bridge, on both sides of which streamed jostling masses of Russian troops.",['top']
"I told you to fire the bridge, and now someone has gone and blundered; they are all beside themselves over there and one can't make anything out.",['top']
"But this sort of thing is the very devil, with them shooting at you like a target.",['top']
"They forgot that the frightened face and the figure could not be altered, and that however they might change the setting and adornment of that face, it would still remain piteous and plain.",['top']
"The Tsar's foot, in the narrow pointed boot then fashionable, touched the groin of the bobtailed bay mare he rode, his hand in a white glove gathered up the reins, and he moved off accompanied by an irregularly swaying sea of aides-de-camp.",['top']
"And he was not the only man to experience that feeling during those memorable days preceding the battle of Austerlitz: nine tenths of the men in the Russian army were then in love, though less ecstatically, with their Tsar and the glory of the Russian arms.",['top']
"Had the Russian army been alone without any allies, it might perhaps have been a long time before this consciousness of mismanagement became a general conviction, but as it was, the disorder was readily and naturally attributed to the stupid Germans, and everyone was convinced that a dangerous muddle had been occasioned by the sausage eaters.",['top']
"A cannon ball killed someone behind them, another fell in front and splashed Dolokhov with blood.",['top']
"In the English Club, where all who were distinguished, important, and well informed forgathered when the news began to arrive in December, nothing was said about the war and the last battle, as though all were in a conspiracy of silence.",['top']
"Prince Andrew turned to him, but the doctor gave him a bewildered look and passed by without a word.",['top']
This man was was speaking to someone in the adjoining room.,['top']
"In the uniform of the Preobrazhensk regiment--white chamois-leather breeches and high boots--and wearing a star Rostov did not know (it was that of the Legion d'honneur), the monarch came out into the porch, putting on his gloves and carrying his hat under his arm.",['top']
voices whispered to Lazarev who did not know where to go.,['top']
"The chairman of the Committee on Army Regulations is my good friend Monsieur Magnitski, he said, fully articulating every word and syllable, and if you like I can put you in touch with him.",['top']
"She did not listen to or look at Vera, who was telling her something about her own green dress.",['top']
"The thin, hollow-cheeked Chekmar, having got everything ready, kept glancing at his master with whom he had lived on the best of terms for thirty years, and understanding the mood he was in expected a pleasant chat.",['top']
"The pack on leash rushed downhill in full cry after the hare, and from all sides the borzois that were not on leash darted after the hounds and the hare.",['top']
"They looked at one another (now that the hunt was over and they were in the house, Nicholas no longer considered it necessary to show his manly superiority over his sister), Natasha gave him a wink, and neither refrained long from bursting into a peal of ringing laughter even before they had a pretext ready to account for it.",['top']
"She went to the table, set down the tray, and with her plump white hands deftly took from it the bottles and various hors d'oeuvres and dishes and arranged them on the table.",['top']
"It was dark in the room especially where they were sitting on the sofa, but through the big windows the silvery light of the full moon fell on the floor.",['top']
